NGC,Star ID,RAJ2000,DEJ2000,Fe/H,O/Fe,O/Fe_e,Na/Fe,Na/Fe_e,F275W,F275W_e,F336W,F336W_e,F438W,F438W_e,F606W,F606W_e,F814W,F814W_e,photo_ID
1261,14,48.082625,-55.218889,-1.26,0.05,0,0.62,0.1,19.7189,0.0654,17.2062,0.0232,16.0739,0,14.5082,0,13.5798,0,R0002679
1261,15,48.081667,-55.2285,-1.31,0.39,0.04,0.49,0.1,20.329,0.0284,17.3729,0.0163,15.7468,0,13.8499,0,12.7971,0,R0000823
1261,17,48.076042,-55.225278,-1.22,0.2,,0.69,0.1,19.745,0.0243,17.3872,0.0153,16.4222,0,14.9394,0,14.0659,0,R0001228
1261,36,48.089167,-55.206806,-1.28,0.48,0.07,0.37,0.11,20.029,0.0335,17.2148,0.011,15.9171,0,14.2637,0,13.2842,0,R0006006
1261,49,48.064333,-55.205917,-1.33,0.56,0.02,-0.05,0.07,20.3617,0.057,17.2339,0.009,15.6684,0,13.793,0,12.7359,0,R0006119
1261,52,48.04075,-55.213861,-1.21,0.12,,0.73,0.11,19.6461,0.016,17.3855,0.0062,16.5256,0.0073,15.1296,0,14.2753,0,R0004442
1261,6,48.053625,-55.231139,-1.32,0.55,0.02,-0.06,0.07,20.3377,0.0551,17.2627,0.0218,15.6807,0,13.7986,0,12.7563,0,R0000585
1261,7,48.043875,-55.235389,-1.38,0.47,0.25,-0.01,0.01,19.6708,0.0506,17.8815,0.0083,17.3596,0.0058,16.0011,0,15.2365,0,R0000316
1261,22,48.062,-55.227889,-1.38,0.64,0.1,0.06,0.03,19.6368,0.0133,17.2979,0.0131,16.582,0,15.2012,0,14.3522,0,R0000890
1261,24,48.05675,-55.223556,-1.31,0.26,0.05,0.14,0.07,20.0482,0.0193,17.2277,0.0096,15.7864,0,14.0686,0,13.0726,0,R0001494
1261,35,48.106583,-55.214806,-1.41,0.62,0.12,-0.05,0.03,19.4689,0.0123,17.4481,0.0116,17.0506,0.0088,15.8458,0,15.057,0,R0004079
1261,40,48.080458,-55.20925,-1.3,0.31,0.11,0.26,0.04,19.6911,0.0165,17.2174,0.0099,16.2432,0,14.774,0,13.8827,0,R0005637
1261,54,48.09525,-55.201222,-1.32,,,0.55,0.11,19.4311,0.0158,17.6332,0.0049,17.1583,0.008,16.0019,0,15.2254,0,R0006599
1261,61,48.056208,-55.196583,-1.32,0.58,0.08,-0.26,0.12,19.6584,0.0193,17.1273,0.0097,16.3173,0,14.9161,0,14.029,0,R0006868
