NGC,Star ID,RAJ2000,DEJ2000,Vmag,Bmag,Teff,logg,Fe/H,Fe/H_e,O/Fe,Na/Fe,F275W,F275W_e,F336W,F336W_e,F438W,F438W_e,F606W,F606W_e,F814W,F814W_e,photo_ID
2808,7315,137.99409,-64.82497,14.68299961,15.93000031,4531,1.52,-1.08,0.071,0.232,0.135,,,,,,,14.4365,0,13.4439,0,R0040813
2808,41828,138.03565,-64.90019,14.52099991,15.86200047,4602,1.69,-1.118,0.087,-0.492,0.449,,,,,,,14.2229,0,13.1185,0,R0000034
2808,43194,138.04604,-64.8927,14.59500027,15.8760004,4753,1.96,-1.117,0.085,-0.292,0.402,,,,,,,14.3142,0,13.2472,0,R0000502
2808,43247,138.04216,-64.8924,14.78600025,16.02199936,4445,1.43,-1.106,0.065,,0.349,,,,,,,14.5152,0,13.4735,0,R0000536
2808,44526,138.04575,-64.8861,15.45899963,16.54000092,4671,1.81,-1.119,0.056,,0.174,,,,,,,15.2311,0,14.2738,0,R0001705
2808,44665,138.06366,-64.88538,14.24499989,15.64900017,4742,1.96,-1.169,0.093,-0.596,0.87,,,,,,,13.9258,0,12.7951,0,R0001890
2808,44996,137.98483,-64.88385,14.39099979,15.77299976,4406,1.36,-1.128,0.086,0.289,-0.036,20.2288,0.0111,17.2495,0.0145,15.911,0,14.0652,0,12.9362,0,R0002388
2808,45496,137.99547,-64.88153,14.48499966,15.79899979,4423,1.39,-1.127,0.093,0.301,0.023,19.8226,0.016,17.2092,0.0078,15.9523,0.0011,14.1692,0,13.0935,0,R0003256
2808,45530,138.01432,-64.88132,14.73700047,15.98400021,4382,1.32,-1.157,0.074,-0.422,0.377,19.6676,0.0177,17.2588,0.0051,16.1618,0.0049,14.4589,0,13.4163,0,R0003347
2808,45701,137.96299,-64.88054,15.02499962,16.2310009,4490,1.5,-1.127,0.093,,0.375,19.8637,0.0164,17.2858,0.0064,16.3569,0.0025,14.7507,0,13.7149,0,R0003685
2808,46036,137.94105,-64.87901,14.53199959,15.81000042,4577,1.64,-1.141,0.095,0.075,0.223,,,,,,,14.2425,0,13.1566,0,R0004407
2808,46520,138.05509,-64.87676,15.44799995,16.58300018,4419,1.38,-1.115,0.098,0.398,-0.068,19.9865,0.0122,17.9252,0.0068,17.248,0.0075,15.1832,0,14.2064,0,R0005798
2808,46663,138.07125,-64.8761,14.55099964,15.85999966,4360,1.28,-1.097,0.085,-0.593,0.654,19.611,0,,,16.0451,0,14.2694,0,13.1982,0,R0006246
2808,46800,137.96405,-64.87548,13.93099976,15.42300034,4433,1.41,-1.098,0.077,-0.875,0.522,20.2309,0.0181,17.154,0.0041,15.584,0,13.6488,0,12.4725,0,R0006664
2808,46868,138.04076,-64.87512,14.75199986,16.00300026,4195,1.01,-1.157,0.041,,0.345,20.1753,0.0134,17.3947,0.0107,16.4081,0.0069,14.4901,0,13.4276,0,R0006958
2808,46908,138.02924,-64.87494,14.26399994,15.63599968,4493,1.54,-1.15,0.091,0.28,0.065,20.127,0.0169,17.192,0.0124,15.834,0.0042,13.9443,0,12.825,0,R0007094
2808,46924,138.01917,-64.87489,14.82600021,16.09600067,4326,1.23,-1.106,0.074,0.037,0.198,19.9596,0.0164,17.3052,0.0353,16.2513,0.0071,14.4655,0,13.4247,0,R0007141
2808,47071,137.9855,-64.87419,14.60499954,15.84500027,4521,1.55,-1.155,0.098,0.156,0.233,19.7245,0.0112,17.221,0.0063,16.0601,0.0072,14.3456,0,13.2853,0,R0007667
2808,47421,137.98516,-64.87257,14.17500019,15.5710001,4437,1.41,-1.132,0.079,,0.37,20.2776,0.0172,17.2407,0.0054,15.7668,0,13.8601,0,12.6939,0,R0009083
2808,47502,137.96517,-64.87218,14.11299992,15.52099991,4272,1.14,-1.117,0.1,0.012,0.281,19.9941,0.0127,17.1956,0.004,15.7241,0,13.761,0,12.6387,0,R0009438
2808,47638,138.01541,-64.87161,14.33699989,15.64099979,4262,1.12,-1.184,0.064,-0.834,0.495,19.8135,0.0254,17.2078,0.005,15.88,0.0016,13.9768,0,12.8815,0,R0010025
2808,47700,138.00448,-64.87138,14.81000042,16.03899956,4359,1.28,-1.098,0.081,,0.361,19.6962,0.0115,17.2775,0.006,16.2078,0.0073,14.4788,0,13.4372,0,R0010249
2808,47805,137.99585,-64.87096,14.15200043,15.54800034,4515,1.57,-1.156,0.069,,0.372,20.3569,0.0055,17.2401,0.0097,15.7616,0,13.7017,0,12.5621,0,R0010741
2808,48424,138.02758,-64.8683,14.45199966,15.77200031,4360,1.28,-1.123,0.093,-0.726,0.654,20.2211,0.0199,17.3742,0.0278,16.1422,0.0126,14.1832,0,13.096,0,R0013896
2808,49493,137.97047,-64.86369,15.14299965,16.32099915,4570,1.63,-1.171,0.102,0.162,0.296,19.7852,0.0121,17.2354,0.005,16.4293,0.004,14.8574,0,13.831,0,R0020343
2808,49753,138.02873,-64.86263,14.35000038,15.66899967,4647,1.77,-1.101,0.066,-0.485,0.456,20.5956,0.0206,17.6249,0.0075,16.2955,0.0067,14.0165,0,12.8641,0,R0021965
2808,50685,138.05782,-64.85853,14.55099964,15.87199974,4491,1.49,-1.131,0.058,,0.149,19.9798,0.0184,17.1602,0.0045,15.9963,0.0066,14.1752,0,13.1,0,R0027538
2808,51519,137.98674,-64.85486,14.14599991,15.53999996,4556,1.61,-1.101,0.056,,0.313,20.1251,0.015,17.0858,0.0067,15.706,0,13.851,0,12.7334,0,R0031670
2808,51646,137.95976,-64.85428,15.46000004,16.54999924,4267,1.13,-1.153,0.071,0.344,-0.112,19.3948,0.0712,17.4427,0.0068,16.7131,0.0046,15.2545,0,14.2848,0,R0032199
2808,51918,138.0355,-64.85307,14.18700027,15.6260004,4778,2,-1.121,0.07,,0.649,19.9021,0.0152,17.2702,0.0039,15.8224,0,13.8604,0,12.7324,0,R0033252
2808,51930,137.95806,-64.85302,14.06799984,15.53100014,4264,1.14,-1.137,0.084,-0.595,0.448,20.3627,0.0216,17.2439,0.0073,15.6787,0,13.9427,0,12.852,0,R0033278
2808,52006,138.07542,-64.85264,14.3760004,15.62800026,4261,1.11,-1.129,0.065,,0.031,,,,,,,13.9812,0,12.9237,0,R0033603
2808,52048,138.02404,-64.8525,14.25899982,15.64500046,4349,1.27,-1.12,0.09,-0.913,0.639,20.5426,0.0883,17.2915,0.0078,15.9327,0.006,13.8967,0,12.7553,0,R0033717
2808,52083,138.03572,-64.85234,15.40799999,16.57099915,4298,1.17,-1.134,0.088,0.277,0.043,19.7228,0.0309,17.4489,0.011,16.6786,0.0035,15.1575,0,14.1567,0,R0033840
2808,52647,138.05117,-64.84989,14.65400028,15.92500019,4725,1.87,-1.126,0.069,,0.17,20.0013,0.03,17.2035,0.01,16.1345,0.0067,14.3716,0,13.3018,0,R0035565
2808,52891,138.0132,-64.84881,14.42599964,15.72099972,4461,1.45,-1.111,0.099,0.259,0.078,20.0071,0.0175,17.2148,0.0165,15.9513,0.0106,14.047,0,12.9463,0,R0036201
2808,53209,137.99698,-64.8474,14.42700005,15.77799988,4369,1.3,-1.153,0.079,0.034,0.268,19.8807,0.0181,17.2257,0.0076,15.9271,0.0069,14.1039,0,13.0059,0,R0036948
2808,53579,137.9531,-64.84578,14.46100044,15.82999992,4082,0.81,-1.147,0.089,0.341,-0.111,20.379,0.0201,17.2906,0.0054,16.0031,0.0016,14.0561,0,12.9474,0,R0037673
2808,53629,138.02745,-64.84553,15.34000015,16.44300079,4348,1.26,-1.127,0.038,,0.04,19.9529,0.022,17.5071,0.0086,16.8276,0.0133,15.1009,0,14.1039,0,R0037787
2808,54266,137.95889,-64.84276,14.78999996,16.02799988,4691,1.84,-1.135,0.081,0.19,0.2,19.929,0.0085,17.1963,0.0086,16.2216,0.0145,14.5374,0,13.4707,0,R0038704
