NGC,Star ID,RAJ2000,DEJ2000,Vmag,Bmag,Teff,logg,Fe/H,Fe/H_e,O/Fe,O/Fe_e,Na/Fe,Na/Fe_e,F275W,F275W_e,F336W,F336W_e,F438W,F438W_e,F606W,F606W_e,F814W,F814W_e,photo_ID
4590,6513,189.8657333,-26.77681667,16.443,17.166,5101,2.6,-2.232,0.184,,,,,,,,,,,16.2449,0,15.5061,0,R0000006
4590,7183,189.8534458,-26.76908611,14.481,15.404,4699,1.66,-2.305,0.126,0.361,,0.17,0.022,17.6106,0.0347,15.8052,0.0142,15.4328,0.0048,14.222,0,13.3706,0,R0000054
4590,7337,189.8747417,-26.76759444,15.433,16.244,4894,2.11,-2.173,0.204,0.761,,-0.349,,,,,,,,15.1958,0,14.4155,0,R0000063
4590,7422,189.879,-26.76682778,15.04,15.888,4814,1.94,-2.251,0.125,0.106,0.119,0.399,0.059,,,,,,,14.7935,0,13.9874,0,R0000071
4590,7852,189.8627417,-26.76313333,15.192,16.022,4845,2.01,-2.273,0.105,0.244,0.157,0.398,0.034,17.6948,0.0068,16.2345,0.0092,16.0385,0.0047,14.9555,0,14.1592,0,R0000128
4590,7910,189.8470833,-26.76266944,15.356,16.166,4878,2.11,-2.324,0.13,,,0.769,0.018,17.688,0,16.3491,0.0047,16.1878,0,15.1147,0,14.3262,0,R0000138
4590,8727,189.8435542,-26.75673611,15.733,16.5,4956,2.27,-2.187,0.16,0.218,,,,17.82,0,16.6176,0.0041,16.5318,0,15.5019,0,14.744,0,R0000291
4590,8807,189.8684667,-26.75622778,14.941,15.785,4793,1.93,-2.237,0.072,0.04,,0.199,0.047,17.6037,0.0032,16.0746,0.0127,15.8165,0.0048,14.7047,0,13.8989,0,R0000317
4590,9036,189.8509167,-26.75473889,14.629,15.511,4729,1.72,-2.206,0.109,,,0.08,0.006,17.5953,0.0023,15.9079,0.0055,15.5677,0.0022,14.382,0,13.5451,0,R0000383
4590,9138,189.8727208,-26.75397222,16.138,16.85,5039,2.56,-2.163,0.168,,,0.405,0.15,18.0712,0.0061,16.9462,0.0151,16.9385,0,15.9868,0,15.2385,0,R0000415
4590,9156,189.8872917,-26.75379722,14.454,15.357,4693,1.67,-2.264,0.055,0.388,0.125,,,17.5341,0.0235,15.7872,0.0061,15.3674,0,14.1883,0,13.3433,0,R0000420
4590,9567,189.868925,-26.75115,15.974,16.717,5005,2.44,-2.229,0.133,0.348,,0.3,0.004,17.9772,0.0059,16.791,0.0092,16.7568,0.0039,15.7717,0,15.0233,0,R0000562
4590,9711,189.878925,-26.75019444,14.83,15.674,4771,1.87,-2.181,0.19,0.45,,0.308,0.182,17.59,0.0231,15.9916,0.0051,15.7096,0.0022,14.5927,0,13.7767,0,R0000617
4590,9790,189.83275,-26.74970556,15.069,15.905,4819,1.97,-2.281,0.033,,,0.305,0.025,,,,,,,14.8125,0,14.0134,0,R0000642
4590,9844,189.8622417,-26.74934167,15.173,15.992,4841,1.97,-2.269,0.058,0.557,,0.303,0.053,17.6656,0.0044,16.2172,0.0066,16.029,4.00E-04,14.9298,0,14.1456,0,R0000663
