NGC,Star ID,RAJ2000,DEJ2000,Vmag,Bmag,Kmag,Teff,logg,Fe/H,Fe/H_e,O/Fe,O/Fe_e,Na/Fe,Na/Fe_e,F275W,F275W_e,F336W,F336W_e,F438W,F438W_e,F606W,F606W_e,F814W,F814W_e,photo_ID
5904,900037,229.6198667,2.09388333,12.7,13.971,9.465,4119,0.89,-1.341,0.111,0.494,,0.098,0.034,18.7596,0.0233,15.6436,8.00E-04,14.1701,0,12.3766,0,11.3389,0,R0012503
5904,900097,229.6462042,2.09273611,13.345,14.449,10.457,4348,1.33,-1.376,0.139,,,0.495,0.071,18.1223,0.0282,15.593,0,14.6245,0,13.0911,0,12.1696,0,R0012199
5904,900101,229.6396792,2.11003611,13.369,14.515,0,4370,1.36,-1.342,0.149,0.47,,0.051,0.057,,,,,,,,,14.1941,0,R0014933
5904,900129,229.622325,2.06381667,13.566,14.644,10.794,4428,1.47,-1.361,0.114,,,0.365,0.044,18.1214,0.0173,15.6404,0,14.7185,0,13.2733,0,12.3715,0,R0001279
5904,900136,229.6667542,2.08756111,13.589,14.679,10.868,4446,1.5,-1.328,0.138,0.387,,0.065,0.068,,,,,,,13.3128,0,12.4107,0,R0010546
5904,900143,229.6176167,2.08088889,13.658,14.725,10.921,4459,1.53,-1.332,0.122,-0.543,,0.7,0.072,17.8776,0.0095,15.6268,0,14.7434,0,13.3717,0,12.4946,0,R0007143
5904,900188,229.6141208,2.072025,13.925,14.942,11.34,4558,1.7,-1.343,0.136,0.049,,0.488,0.109,17.9784,0.0038,15.7538,0.0013,15.0058,0,13.6764,0,12.8269,0,R0003187
5904,900270,229.661625,2.06702222,14.226,15.204,11.7,4642,1.87,-1.309,0.123,0.284,,-0.075,0.069,,,,,,,20.7209,0.2185,20.231,0.2775,R0034573
5904,900282,229.6221458,2.11053333,14.256,15.223,11.761,4657,1.89,-1.351,0.162,0.375,,0.108,0.077,,,,,,,14.0095,0,13.1849,0,R0014981
5904,900287,229.6562083,2.08209167,14.272,15.217,11.834,4673,1.91,-1.347,0.136,0.143,,0.495,0.066,23.8962,0.0133,21.7403,0.002,21.1285,0.1462,20.4722,0.042,20.0885,0,R0075765
5904,900291,229.662,2.08059444,14.294,15.235,11.598,4690,1.92,-1.377,0.157,0.293,,-0.02,0.095,19.4881,0.0073,18.8526,0,19.2006,0,18.4745,0.0085,17.881,0.0236,R0007057
5904,900301,229.6283083,2.08732222,14.31,15.256,11.963,4703,1.94,-1.328,0.112,-0.308,,0.607,0.01,17.7567,0.023,15.8744,0.0053,15.3249,0,14.1035,0,13.2915,0,R0010445
5904,900385,229.6462667,2.09401111,14.636,15.546,12.258,4769,2.11,-1.321,0.142,0.031,,0.26,0.102,22.5347,0.1629,20.9777,0.0362,20.8716,0.0805,20.2131,0.013,19.5298,0.0298,R0107245
5904,900387,229.6275167,2.07137778,14.64,15.557,12.395,4798,2.12,-1.335,0.189,0.145,,0.497,0.067,17.8173,0.01,16.07,0.0116,15.6274,0.0014,14.4733,0,13.6934,0,R0003000
5904,900598,229.608525,2.06133889,14.986,15.843,12.66,4860,2.29,-1.367,0.116,,,0.409,0.054,,,,,,,18.946,0,18.45,0,R0000896
5904,900628,229.6520417,2.074675,15.029,15.883,12.866,4900,2.33,-1.325,0.111,0.339,,-0.293,0.04,19.5365,0.0249,18.8945,0.0164,19.2481,0.0108,18.5778,0.0087,18.0873,0.0018,R0004199
5904,900814,229.6135333,2.06238611,15.231,16.063,0,4940,2.43,-1.332,0.121,0.285,,0.331,0.113,18.0746,0,16.4199,0,16.1328,0,15.0172,0,14.2669,0,R0001034
5904,900838,229.6663958,2.05443889,15.271,16.1,13.063,4938,2.45,-1.355,0.143,,,0.273,0.163,,,,,,,21.2656,0.0154,20.5998,0.0039,R0016170
5904,900872,229.6376417,2.09918611,15.316,16.121,13.136,4952,2.47,-1.352,0.167,0.391,,0.085,0.136,18.1368,0.0158,16.4712,0.0126,16.2624,0.0083,15.1492,0,14.4176,0,R0013609
5904,900946,229.65585,2.09681389,15.418,16.23,13.166,4957,2.52,-1.357,0.13,0.396,,0.191,0.109,18.1743,0.0096,16.5599,0.0179,16.326,0.0076,15.2056,0,14.4712,0,R0013157
5904,900984,229.6383292,2.06807778,15.48,16.287,0,4968,2.54,-1.385,0.146,0.038,,0.289,0.053,,,,,,,22.9883,0.0359,21.5882,0.0725,R0039049
5904,901326,229.6308917,2.09274444,16.015,16.759,0,5074,2.81,-1.366,0.104,0.095,,0.278,0.126,24.4372,0,23.5125,0.1155,22.7799,0.0863,22.0632,0.1246,21.2284,0.12,R0104793
