NGC,Star ID,RAJ2000,DEJ2000,Vmag,Kmag,Teff,logg,Fe/H,O/Fe,Na/Fe,F275W,F275W_e,F336W,F336W_e,F438W,F438W_e,F606W,F606W_e,F814W,F814W_e,photo_ID
6205,L 481,250.415993,36.474773,12.34,9.163,4145,0.75,-1.49,-0.77,0.37,17.7997,0.0181,15.2934,0,13.8175,0,12.1757,0,11.2173,0,R0015596
6205,L 250,250.3937,36.443489,12.37,9.211,4155,0.8,-1.58,-0.28,0.38,,,,,,,12.1518,0,11.1301,0,R0002083
6205,L 384,250.408606,36.463726,12.48,9.541,4295,0.9,-1.61,0.36,0.04,18.0342,0.0393,15.2267,0,13.9167,0,12.2529,0,11.2571,0,R0011115
6205,L 465,250.415078,36.460598,12.5,9.583,4310,0.95,-1.64,0.38,-0.15,17.9598,0.0416,15.1613,0,13.9036,0,12.2446,0,11.2554,0,R0009393
6205,L 845,250.446598,36.462189,12.53,9.499,4235,0.9,-1.57,-0.48,0.4,17.8695,0.0362,15.2565,0,13.9332,0,12.2409,0,11.2409,0,R0010259
6205,L 584,250.423848,36.455242,12.55,9.857,4480,1.05,-1.63,0.23,0.32,17.8286,0.0103,15.217,0,14.0664,0,12.4962,0,11.5936,0,R0006526
6205,L 296,250.398768,36.446945,12.56,9.659,4320,0.95,-1.71,0.26,0.28,17.703,0.0016,15.0776,0,13.8439,0,12.2709,0,11.3109,0,R0003036
6205,L 367,250.40678,36.465542,12.56,9.575,4260,0.95,-1.57,-0.44,0.4,17.6788,0.0143,15.1991,0,13.9156,0,12.2704,0,11.2902,0,R0012047
6205,L 674,250.430845,36.454346,12.58,9.771,4390,1.05,-1.62,0.01,0.44,17.7307,0.0132,15.1819,0,14.0162,0,12.4338,0,11.4832,0,R0006114
6205,L 398,250.409644,36.475033,12.6,9.775,4375,1.05,-1.55,0.25,0.08,17.9208,0.0035,15.1962,0,14.0503,0,12.4228,0,11.469,0,R0015663
6205,L 830,250.445026,36.451096,12.68,9.758,4305,1,-1.59,-0.32,0.52,17.7497,0.0124,15.2692,0,14.0464,0,12.4112,0,11.4256,0,R0004591
6205,L 938,250.45695,36.452896,12.68,9.887,4400,1.1,-1.63,0.46,-0.42,17.8078,0.0038,15.1246,0,14.0313,0,12.4583,0,11.4885,0,R0005439
6205,L 666,250.430458,36.440987,12.73,9.794,4295,1,-1.57,0.27,0.12,17.979,0.033,,,14.0532,0,12.5659,0,11.6002,0,R0001523
6205,L 825,250.444365,36.472321,12.78,10.011,4420,1.15,-1.55,-0.06,0.43,17.767,0.0132,15.265,0,14.1586,0,12.5816,0,11.6453,0,R0014857
6205,L 594,250.424539,36.470486,12.86,10.099,4425,1.15,-1.57,0.12,0.45,17.6685,0.0342,15.2341,0,14.4073,0,12.6341,0,11.713,0,R0014192
6205,L 754,250.438238,36.470348,12.88,10.058,4380,1.15,-1.6,0.34,0.09,17.7146,0.023,15.122,0,14.1457,0,12.634,0,11.7071,0,R0014143
6205,L 343,250.404518,36.453026,13.07,10.348,4455,1.25,-1.6,0.35,0.19,17.5909,0.0076,15.179,0,14.2494,0,12.8144,0,11.9096,0,R0005495
6205,L 592,250.424562,36.471794,13.1,10.423,4490,1.3,-1.68,0.28,0.31,17.5313,0.0136,15.1625,0,14.2868,0,12.8518,0,11.9658,0,R0014657
6205,L 476,250.415991,36.448318,13.13,10.426,4470,1.3,-1.62,0.3,0.22,17.7207,0.0272,15.2217,0,14.3096,0,12.8643,0,11.9761,0,R0003505
6205,L 269,250.395629,36.458511,13.14,10.457,4485,1.3,-1.65,-0.11,0.21,16.8553,0.0037,14.8355,0,14.1288,0,12.8854,0,12.0629,0,R0008249
6205,L 644,250.428298,36.483116,13.18,10.467,4460,1.3,-1.62,-0.04,0.32,17.3444,0.0141,15.2037,0,14.3127,0,12.8902,0,12.007,0,R0017219
6205,L 176,250.380242,36.467278,13.31,10.702,4550,1.4,-1.61,0.21,0.37,,,,,,,13.0854,0,12.2133,0,R0012887
6205,L 436,250.412601,36.44313,13.43,10.865,4580,1.5,-1.78,0.08,0.36,17.3598,0.0092,15.2943,0,14.5629,0,13.2741,0,12.4301,0,R0001998
6205,L 370,250.407394,36.440029,13.47,10.917,4590,1.5,-1.66,-0.19,0.27,17.2737,0.0135,15.294,0,14.5906,0,13.3372,0,12.4892,0,R0001319
6205,L 793,250.441763,36.451073,13.68,11.198,4660,1.65,-1.59,0.54,-0.13,17.4825,0.0102,15.3225,0,14.7523,0,13.4597,0,12.6211,0,R0004579
6205,L 609,250.426025,36.439865,13.96,11.512,4690,1.75,-1.69,0.39,0.47,17.3607,0.0059,15.4748,0,14.9042,0,13.701,0,12.8784,0,R0001294
