NGC,Star ID,RAJ2000,DEJ2000,Vmag,Bmag,Kmag,Teff,logg,Fe/H,Fe/H_e,O/Fe,O/Fe_e,Na/Fe,Na/Fe_e,F275W,F275W_e,F336W,F336W_e,F438W,F438W_e,F606W,F606W_e,F814W,F814W_e,photo_ID
6388,l63p082,264.0887231,-44.76240806,15.29,,10.477,3834,0.96,-0.458,0.025927249,-0.055,0.005,0.3,0.005,23.3772,0.0591,19.8228,0.0106,17.3904,0.0057,14.7711,0,13.1941,0,R0000255
6388,l63p250,264.0911619,-44.76154611,15.357,17.174,10.903,3910,1.16,-0.439,0.038842784,-0.318,,0.475,0.109,23.1585,0.0611,19.6378,0.0124,17.3841,0,14.8729,0,13.4284,0,R0000325
6388,l63p083,264.10042,-44.760745,15.504,17.355,10.906,3911,1.15,-0.538,0.036865415,-0.302,0.02,0.622,0.059,23.2686,0.0011,19.9317,0,17.5865,0,15.0155,0,13.566,0,R0000408
6388,l63p211,264.1054181,-44.76052889,16.793,18.261,13.141,4499,2.11,-0.404,0.038460369,0.343,,0.206,0.017,,,,,,,16.4188,0,15.2079,0,R0000430
6388,n63e,264.0944811,-44.75657,15.188,17.097,10.394,3820,0.93,-0.494,0.013670898,-0.159,0.053,0.551,0.05,23.1646,0.0957,19.7646,0.0757,17.3206,0.0402,14.6439,0,13.1073,0,R0000943
6388,l63p090,264.0606089,-44.75616611,15.31,,9.687,3722,0.57,-0.5,0.02192031,-0.668,,1.384,0.089,23.2791,0.1021,20.2494,0,17.6389,0,14.7906,0,13.2105,0,R0001007
6388,l63p299,264.0981239,-44.75149889,16.163,17.807,12.318,4246,1.77,-0.484,0.027280029,-0.002,0.02,0.852,0.087,23.21,0.0673,19.7837,0.0019,17.9554,0.022,15.7227,0,14.4364,0,R0001844
6388,l63p097,264.0531761,-44.75084694,15.907,17.564,,4019,1.51,-0.529,0.025951312,-0.056,0.002,0.455,0.062,23.2881,0.0723,19.5925,0.027,17.7168,0.0155,15.4418,0,14.1107,0,R0002005
6388,n63f,264.0459089,-44.75042306,15.14,17.009,10.381,3818,0.93,-0.543,0.012935483,-0.112,0.002,0.639,0.085,23.1274,0.0711,19.7407,0.0387,17.2791,0.0313,14.5746,0,13.0279,0,R0002120
6388,l63p072,264.0961781,-44.74963806,15.247,17.256,9.646,3717,0.56,-0.491,0.055714301,-0.188,0.071,0.456,,23.0795,0.0249,20.1031,0.1012,17.4161,0.06,14.5344,0,12.5646,0,R0002311
