NGC,Paper,Author Reference,RAJ2000,DEJ2000,Distance (pc),Vmag,Vmag_abs,Bmag,Bmag_abs,Imag,Imag_abs,Kmag,Kmag_abs,Teff,logg,age_Kruijssen,Fe/H,Fe/H_e,Fe/H_o,O/Fe,O/Fe_e,Na/Fe,Na/Fe_e,F275W,F275W_abs,F275W_e,F336W,F336W_abs,F336W_e,F435W,F435W_abs,F435W_e,F606W,F606W_abs,F606W_e,F814W,F814W_abs,F814W_e,Star ID,,,,,,,,,,,,,,,,,,,,,,
104,Carretta,17238,5.956925,-72.11339444,4521,14.47,1.193827465,15.39,2.113827465,NaN,NaN,12.102,-1.174172535,4741,2.44,12.52,-0.767,0.154,-0.75,0.236,NaN,0.453,0.13,-99.9999,-113.2760725,99.9999,16.1214,2.845227465,0,15.4746,2.198427465,0,14.2529,0.976727465,0,13.4969,0.220727465,0,R0000024,,,,,,,,,,,,,,,,,,,,,,
104,Carretta,18374,6.03026667,-72.10810833,4521,14.163,0.886827465,15.109,1.832827465,NaN,NaN,11.629,-1.647172535,4660,2.27,12.52,-0.779,0.097,-0.75,0.107,NaN,0.445,0.123,-99.9999,-113.2760725,99.9999,15.9434,2.667227465,9.00E-04,15.2034,1.927227465,0,13.9427,0.666527465,0,13.1398,-0.136372535,0,R0000435,,,,,,,,,,,,,,,,,,,,,,
104,Carretta,18896,6.10443333,-72.10566667,4521,14.504,1.227827465,15.416,2.139827465,NaN,NaN,12.032,-1.244172535,4749,2.46,12.52,-0.784,0.156,-0.75,NaN,NaN,0.554,0.124,-99.9999,-113.2760725,99.9999,16.1662,2.890027465,0,15.5023,2.226127465,0,14.3024,1.026227465,0,13.5235,0.247327465,0,R0000815,,,,,,,,,,,,,,,,,,,,,,
104,Carretta,19992,5.95030417,-72.1007,4521,13.921,0.644827465,14.931,1.654827465,NaN,NaN,11.395,-1.881172535,4590,2.14,12.52,-0.744,0.12,-0.75,0.368,0.053,0.117,0.11,18.8476,5.571427465,0.0186,15.6995,2.423327465,0,15.3167,2.040527465,0,13.6429,0.366727465,0,12.8017,-0.474472535,0,R0001925,,,,,,,,,,,,,,,,,,,,,,
104,Carretta,20701,6.1068625,-72.09745833,4521,13.974,0.697827465,14.941,1.664827465,NaN,NaN,0,-13.27617254,4606,2.17,12.52,-0.716,0.143,-0.75,0.104,NaN,0.558,0.173,-99.9999,-113.2760725,99.9999,15.9301,2.653927465,0,15.0808,1.804627465,0,13.7608,0.484627465,0,12.9358,-0.340372535,0,R0002885,,,,,,,,,,,,,,,,,,,,,,
104,Carretta,22374,6.0153875,-72.08997222,4521,13.589,0.312827465,14.666,1.389827465,NaN,NaN,0,-13.27617254,4485,1.94,12.52,-0.772,0.087,-0.75,-0.208,NaN,0.731,0.014,18.2918,5.015627465,0.0101,15.7501,2.473927465,0,14.7112,1.435027465,0,13.2976,0.021427465,0,12.4313,-0.844872535,0,R0006211,,,,,,,,,,,,,,,,,,,,,,
104,Carretta,23175,5.971175,-72.08619722,4521,12.883,-0.393172535,14.054,0.777827465,NaN,NaN,7.736,-5.540172535,4233,1.47,12.52,-0.817,0.116,-0.75,0.054,0.09,0.626,0.138,18.5597,5.283527465,0.0105,15.5374,2.261227465,0,14.1402,0.864027465,0,12.5658,-0.710372535,0,11.6241,-1.652072535,0,R0008669,,,,,,,,,,,,,,,,,,,,,,
104,Carretta,23211,6.12684167,-72.08596667,4521,13.813,0.536827465,14.839,1.562827465,NaN,NaN,11.133,-2.143172535,4557,2.07,12.52,-0.747,0.112,-0.75,-0.32,NaN,0.743,0.111,-99.9999,-113.2760725,99.9999,15.8221,2.545927465,0,-99.9999,-113.2760725,99.9999,13.5358,0.259627465,0,12.682,-0.594172535,0,R0008835,,,,,,,,,,,,,,,,,,,,,,
104,Carretta,23232,5.98647917,-72.08596111,4521,13.889,0.612827465,14.88,1.603827465,NaN,NaN,11.614,-1.662172535,4577,2.11,12.52,-0.741,0.127,-0.75,0.347,0.066,0.101,0.093,18.2713,4.995127465,0.012,15.7442,2.468027465,0,14.9616,1.685427465,0,13.6685,0.392327465,0,12.802,-0.474172535,0,R0008856,,,,,,,,,,,,,,,,,,,,,,
104,Carretta,23335,6.04855417,-72.08535833,4521,12.708,-0.568172535,13.984,0.707827465,NaN,NaN,0,-13.27617254,4167,1.35,12.52,-0.679,0.213,-0.75,-0.034,0.022,0.686,0.182,18.2645,4.988327465,0.0091,15.5059,2.229727465,0,13.9932,0.717027465,0,12.3103,-0.965872535,0,11.3128,-1.963372535,0,R0009274,,,,,,,,,,,,,,,,,,,,,,
104,Carretta,23782,5.96616667,-72.08354167,4521,13.483,0.206827465,14.56,1.283827465,NaN,NaN,0,-13.27617254,4450,1.87,12.52,-0.81,0.134,-0.75,NaN,NaN,0.435,0.092,18.3392,5.063027465,0.011,15.679,2.402827465,0,14.6163,1.340127465,0,13.2585,-0.017672535,0,12.3804,-0.895772535,0,R0010831,,,,,,,,,,,,,,,,,,,,,,
104,Carretta,23821,6.0064625,-72.08316111,4521,12.832,-0.444172535,14.017,0.740827465,NaN,NaN,0,-13.27617254,4214,1.44,12.52,-0.787,0.188,-0.75,0.138,0.028,0.528,0.019,18.8156,5.539427465,0.0209,15.589,2.312827465,0,14.0887,0.812527465,0,12.4808,-0.795372535,0,11.4993,-1.776872535,0,R0011193,,,,,,,,,,,,,,,,,,,,,,
