Star ID,NGC,Paper,Author Reference,RAJ2000,DEJ2000,Distance (pc),neg_sigma_dist,pos_sigma_dist,Vmag,Vmag_abs,Bmag,Bmag_abs,Imag,Imag_abs,Kmag,Kmag_abs,Teff,logg,age_Kruijssen,Fe/H,Fe/H_e,Fe/H_o,O/Fe,O/Fe_e,Na/Fe,Na/Fe_e,F275W,F275W_abs,F275W_e,F336W,F336W_abs,F336W_e,F438W,F438W_abs,F438W_e,F606W,F606W_abs,F606W_e,F814W,F814W_abs,F814W_e
R0011193,104,Carretta,23821,6.0064625,-72.08316111,4521,-31,31,12.832,-0.444172535,14.017,0.740827465,,,0.0,-13.27617254,4214.0,1.44,12.52,-0.787,0.188,-0.75,0.138,0.028,0.528,0.019,18.8156,5.539427465,0.0209,15.589,2.312827465,0.0,14.0887,0.812527465,0.0,12.4808,-0.795372535,0.0,11.4993,-1.776872535,0.0
R0015269,104,Carretta,24901,6.08612083,-72.07861389,4521,-31,31,13.975,0.698827465,14.985,1.708827465,,,0.0,-13.27617254,4606.0,2.17,12.52,-0.771,0.159,-0.75,,,0.691,0.12,18.257,4.980827465,0.0076,15.9201,2.643927465,0.0,15.0095,1.733327465,0.0,13.6955,0.419327465,0.0,12.8655,-0.410672535,0.0
R0018788,104,Carretta,25988,6.07846667,-72.07389722,4521,-31,31,13.457,0.180827465,14.561,1.284827465,,,10.843,-2.433172535,4550.0,1.92,12.52,-0.73,0.144,-0.75,,,0.417,0.061,18.5536,5.277427465,0.0091,15.8572,2.581027465,0.0,14.7838,1.507627465,0.0,13.129,-0.147172535,0.0,12.2317,-1.044472535,0.0
R0018794,104,Carretta,26058,6.02807917,-72.07389722,4521,-31,31,12.403,-0.873172535,13.718,0.441827465,,,9.186,-4.090172535,4127.0,1.19,12.52,-0.779,0.107,-0.75,0.409,0.029,0.375,0.085,18.7736,5.497427465,0.0273,15.4416,2.165427465,0.0,13.7323,0.456127465,0.0,12.0009,-1.275272535,0.0,10.982,-2.294172535,0.0
R0024168,104,Carretta,29031,6.10287083,-72.06073889,4521,-31,31,14.571,1.294827465,15.487,2.210827465,,,12.186,-1.090172535,4765.0,2.5,12.52,-0.658,0.113,-0.75,,,0.519,0.24,18.4178,5.141627465,0.0116,16.1519,2.875727465,0.0,15.5521,2.275927465,0.0,14.3188,1.042627465,0.0,13.5177,0.241527465,0.0
R0024181,104,Carretta,29167,6.05335833,-72.06066944,4521,-31,31,12.59,-0.686172535,13.853,0.576827465,,,9.209,-4.067172535,4121.0,1.26,12.52,-0.717,0.131,-0.75,,,0.574,0.108,18.9553,5.679127465,0.0155,15.6445,2.368327465,0.0,13.945,0.668827465,0.0,12.2296,-1.046572535,0.0,11.1981,-2.078072535,0.0
R0025208,104,Carretta,30193,6.03802917,-72.05577778,4521,-31,31,14.085,0.808827465,15.068,1.791827465,,,11.537,-1.739172535,4638.0,2.23,12.52,-0.729,0.103,-0.75,,,0.327,0.127,,,,15.8469,2.570727465,0.0,15.0949,1.818727465,0.0,13.7858,0.509627465,0.0,12.9491,-0.327072535,0.0
R0025327,104,Carretta,30340,6.01150417,-72.05500833,4521,-31,31,12.395,-0.881172535,13.748,0.471827465,,,8.934,-4.342172535,4046.0,1.11,12.52,-0.714,0.1,-0.75,0.17,0.122,0.488,0.062,,,,15.7321,2.455927465,0.0,13.8185,0.542327465,0.0,12.0301,-1.246072535,0.0,10.9334,-2.342772535,0.0
R0000024,104,Dobrovolskas,17238,5.9569622,-72.1134367,4521,-31,31,14.47,1.193827465,15.39,2.113827465,,,,,,,12.52,-0.7,,-0.75,,,0.57,,,,,16.1214,2.845227465,0.0,15.4746,2.198427465,0.0,14.2529,0.976727465,0.0,13.4969,0.220727465,0.0
R0000435,104,Dobrovolskas,18374,6.0302839,-72.1081228,4521,-31,31,14.163,0.886827465,15.109,1.832827465,,,,,,,12.52,-0.7,,-0.75,,,0.48,,,,,15.9434,2.667227465,0.0009,15.2034,1.927227465,0.0,13.9427,0.666527465,0.0,13.1398,-0.136372535,0.0
