age_Kruijssen,Fe/H,O/Fe,F275W,F275W_abs,F336W,F336W_abs,F435W,F435W_abs,F606W,F606W_abs,F814W,F814W_abs
12.52,-0.744,0.368,18.8476,5.571427465,15.6995,2.423327465,15.3167,2.040527465,13.6429,0.366727465,12.8017,-0.474472535
12.52,-0.772,-0.208,18.2918,5.015627465,15.7501,2.473927465,14.7112,1.435027465,13.2976,0.021427465,12.4313,-0.844872535
12.52,-0.817,0.054,18.5597,5.283527465,15.5374,2.261227465,14.1402,0.864027465,12.5658,-0.710372535,11.6241,-1.652072535
12.52,-0.741,0.347,18.2713,4.995127465,15.7442,2.468027465,14.9616,1.685427465,13.6685,0.392327465,12.802,-0.474172535
12.52,-0.679,-0.034,18.2645,4.988327465,15.5059,2.229727465,13.9932,0.717027465,12.3103,-0.965872535,11.3128,-1.963372535
12.52,-0.787,0.138,18.8156,5.539427465,15.589,2.312827465,14.0887,0.812527465,12.4808,-0.795372535,11.4993,-1.776872535
12.52,-0.75,0.294,18.5912,5.315027465,15.4941,2.217927465,14.1848,0.908627465,12.6576,-0.618572535,11.7145,-1.561672535
12.52,-0.764,0.003,18.8583,5.582127465,15.5167,2.240527465,13.7398,0.463627465,12.0098,-1.266372535,10.9901,-2.286072535
12.52,-0.783,0.089,18.4295,5.153327465,15.5566,2.280427465,14.1951,0.918927465,12.6376,-0.638572535,11.6955,-1.580672535
12.52,-0.78,0.114,18.2235,4.947327465,15.8427,2.566527465,14.9158,1.639627465,13.577,0.300827465,12.7401,-0.536072535
12.52,-0.794,0.325,18.3322,5.056027465,16.1734,2.897227465,15.484,2.207827465,14.2514,0.975227465,13.4622,0.186027465
12.52,-0.744,0.368000001,18.8476,5.571427465,15.6995,2.423327465,15.3167,2.040527465,13.6429,0.366727465,12.8017,-0.474472535
12.52,-0.817,0.054000001,18.5597,5.283527465,15.5374,2.261227465,14.1402,0.864027465,12.5658,-0.710372535,11.6241,-1.652072535
12.52,-0.679,-0.034000002,18.2645,4.988327465,15.5059,2.229727465,13.9932,0.717027465,12.3103,-0.965872535,11.3128,-1.963372535
12.52,-0.787,0.112318946,18.8156,5.539427465,15.589,2.312827465,14.0887,0.812527465,12.4808,-0.795372535,11.4993,-1.776872535
12.52,-0.75,0.241053702,18.5912,5.315027465,15.4941,2.217927465,14.1848,0.908627465,12.6576,-0.618572535,11.7145,-1.561672535
12.52,-0.779,0.409000009,18.7736,5.497427465,15.4416,2.165427465,13.7323,0.456127465,12.0009,-1.275272535,10.982,-2.294172535
12.52,-0.78,0.092513602,18.2235,4.947327465,15.8427,2.566527465,14.9158,1.639627465,13.577,0.300827465,12.7401,-0.536072535
11.54,-1.213,0.302,18.6949,3.926584681,15.9644,1.196084681,15.0652,0.296884681,13.5954,-1.172915319,12.6846,-2.083715319
11.54,-1.335,-0.171,18.5007,3.732384681,16.0048,1.236484681,15.0584,0.290084681,13.5998,-1.168515319,12.7059,-2.062415319
11.54,-1.317,0.047,18.522,3.753684681,16.0096,1.241284681,15.0788,0.310484681,13.6055,-1.162815319,12.7164,-2.051915319
11.54,-1.183,0.377,18.6844,3.916084681,16.0361,1.267784681,15.1303,0.361984681,13.6223,-1.146015319,12.7163,-2.052015319
11.54,-1.253,0.049,18.3557,3.587384681,16.1687,1.400384681,15.4939,0.725584681,14.1916,-0.576715319,13.355,-1.413315319
11.54,-1.18,0.066,18.395,3.626684681,16.499,1.730684681,16.0059,1.237584681,14.7671,-0.001215319,14.0044,-0.763915319
11.54,-1.206,-0.023,18.4805,3.712184681,16.5934,1.825084681,16.3127,1.544384681,15.1538,0.385484681,14.3945,-0.373815319
11.54,-1.247,-0.184,18.4288,3.660484681,16.6711,1.902784681,16.363,1.594684681,15.257,0.488684681,14.5137,-0.254615319
11.54,-1.242,0.426,18.5392,3.770884681,16.6509,1.882584681,16.4174,1.649084681,15.2959,0.527584681,14.536,-0.232315319
11.54,-1.196,0.059,18.4661,3.697784681,16.8239,2.055584681,16.5557,1.787384681,15.4989,0.730584681,14.7575,-0.010815319
11.54,-1.233,0.546,18.4612,3.692884681,16.9199,2.151584681,16.6518,1.883484681,15.5801,0.811784681,14.8487,0.080384681
11.54,-1.204,0.23,18.593,3.824684681,16.8096,2.041284681,16.6496,1.881284681,15.5781,0.809784681,14.8491,0.080784681
11.54,-1.179,0.097,18.6235,3.855184681,16.9359,2.167584681,16.7704,2.002084681,15.6853,0.916984681,14.9527,0.184384681
11.54,-1.233,0.04,18.4649,3.696584681,16.8686,2.100284681,16.7587,1.990384681,15.7626,0.994284681,15.0612,0.292884681
10.87,-1.176,0.16,18.5908,3.861242416,16.1884,1.458842416,15.3185,0.588942416,13.883,-0.846557584,13.0138,-1.715757584
10.87,-1.259,0.17,17.8851,3.155542416,15.9097,1.180142416,15.5031,0.773542416,14.3515,-0.378057584,13.5798,-1.149757584
10.87,-1.123,0.11,18.5391,3.809542416,16.5034,1.773842416,16.1529,1.423342416,14.9623,0.232742416,14.1761,-0.553457584
10.87,-1.138,0.11,18.4638,3.734242416,16.1633,1.433742416,15.4733,0.743742416,14.1167,-0.612857584,13.2678,-1.461757584
10.87,-1.176,0.21,18.5036,3.774042416,16.6667,1.937142416,16.3364,1.606842416,15.1951,0.465542416,14.4402,-0.289357584
10.87,-1.21,0.05,18.3886,3.659042416,16.2363,1.506742416,15.6211,0.891542416,14.3237,-0.405857584,13.5136,-1.215957584
10.87,-1.174,-0.21,18.7871,4.057542416,16.065,1.335442416,14.697,-0.032557584,12.9614,-1.768157584,11.9572,-2.772357584
10.87,-1.115,-0.28,18.5272,3.797642416,16.3865,1.656942416,15.6098,0.880242416,14.172,-0.557557584,13.3557,-1.373857584
10.87,-1.206,0.24,18.7201,3.990542416,15.9868,1.257242416,15.0088,0.279242416,13.4639,-1.265657584,12.5252,-2.204357584
10.87,-1.108,0.13,18.1694,3.439842416,16.1076,1.378042416,15.5528,0.823242416,14.223,-0.506557584,13.3905,-1.339057584
10.87,-1.219,0.07,18.754,4.024442416,16.0279,1.298342416,14.7689,0.039342416,13.1339,-1.595657584,12.1729,-2.556657584
10.87,-1.101,0.28,19.1417,4.412142416,16.1247,1.395142416,14.5584,-0.171157584,12.6904,-2.039157584,11.6209,-3.108657584
10.87,-1.158,0.28,19.0357,4.306142416,15.9903,1.260742416,14.6447,-0.084857584,12.9097,-1.819857584,11.8906,-2.838957584
10.87,-1.151,-0.16,19.2973,4.567742416,16.4861,1.756542416,14.6349,-0.094657584,12.6971,-2.032457584,11.5386,-3.190957584
10.87,-1.176,0.130473847,18.5908,3.861242416,16.1884,1.458842416,15.3185,0.588942416,13.883,-0.846557584,13.0138,-1.715757584
10.87,-1.259,0.138726079,17.8851,3.155542416,15.9097,1.180142416,15.5031,0.773542416,14.3515,-0.378057584,13.5798,-1.149757584
10.87,-1.138,0.08921271,18.4638,3.734242416,16.1633,1.433742416,15.4733,0.743742416,14.1167,-0.612857584,13.2678,-1.461757584
10.87,-1.21,0.050000001,18.3886,3.659042416,16.2363,1.506742416,15.6211,0.891542416,14.3237,-0.405857584,13.5136,-1.215957584
10.87,-1.174,-0.209999993,18.7871,4.057542416,16.065,1.335442416,14.697,-0.032557584,12.9614,-1.768157584,11.9572,-2.772357584
10.87,-1.115,-0.280000001,18.5272,3.797642416,16.3865,1.656942416,15.6098,0.880242416,14.172,-0.557557584,13.3557,-1.373857584
10.87,-1.206,0.196491668,18.7201,3.990542416,15.9868,1.257242416,15.0088,0.279242416,13.4639,-1.265657584,12.5252,-2.204357584
10.87,-1.108,0.105717163,18.1694,3.439842416,16.1076,1.378042416,15.5528,0.823242416,14.223,-0.506557584,13.3905,-1.339057584
