Na/Fe,F275W,F275W_abs,F336W,F336W_abs,F435W,F435W_abs,F606W,F606W_abs,F814W,F814W_abs
0.117,18.8476,5.571427465,15.6995,2.423327465,15.3167,2.040527465,13.6429,0.366727465,12.8017,-0.474472535
0.731,18.2918,5.015627465,15.7501,2.473927465,14.7112,1.435027465,13.2976,0.021427465,12.4313,-0.844872535
0.626,18.5597,5.283527465,15.5374,2.261227465,14.1402,0.864027465,12.5658,-0.710372535,11.6241,-1.652072535
0.101,18.2713,4.995127465,15.7442,2.468027465,14.9616,1.685427465,13.6685,0.392327465,12.802,-0.474172535
0.686,18.2645,4.988327465,15.5059,2.229727465,13.9932,0.717027465,12.3103,-0.965872535,11.3128,-1.963372535
0.435,18.3392,5.063027465,15.679,2.402827465,14.6163,1.340127465,13.2585,-0.017672535,12.3804,-0.895772535
0.528,18.8156,5.539427465,15.589,2.312827465,14.0887,0.812527465,12.4808,-0.795372535,11.4993,-1.776872535
0.388,18.5912,5.315027465,15.4941,2.217927465,14.1848,0.908627465,12.6576,-0.618572535,11.7145,-1.561672535
0.691,18.257,4.980827465,15.9201,2.643927465,15.0095,1.733327465,13.6955,0.419327465,12.8655,-0.410672535
0.514,18.8583,5.582127465,15.5167,2.240527465,13.7398,0.463627465,12.0098,-1.266372535,10.9901,-2.286072535
0.54,18.4295,5.153327465,15.5566,2.280427465,14.1951,0.918927465,12.6376,-0.638572535,11.6955,-1.580672535
0.417,18.5536,5.277427465,15.8572,2.581027465,14.7838,1.507627465,13.129,-0.147172535,12.2317,-1.044472535
0.674,18.2235,4.947327465,15.8427,2.566527465,14.9158,1.639627465,13.577,0.300827465,12.7401,-0.536072535
0.504,18.3322,5.056027465,16.1734,2.897227465,15.484,2.207827465,14.2514,0.975227465,13.4622,0.186027465
0.619,18.2458,4.969627465,15.6998,2.423627465,14.6564,1.380227465,13.3172,0.041027465,12.4483,-0.827872535
0.519,18.4178,5.141627465,16.1519,2.875727465,15.5521,2.275927465,14.3188,1.042627465,13.5177,0.241527465
0.574,18.9553,5.679127465,15.6445,2.368327465,13.945,0.668827465,12.2296,-1.046572535,11.1981,-2.078072535
0.15,18.8476,5.571427465,15.6995,2.423327465,15.3167,2.040527465,13.6429,0.366727465,12.8017,-0.474472535
0.56,18.5597,5.283527465,15.5374,2.261227465,14.1402,0.864027465,12.5658,-0.710372535,11.6241,-1.652072535
0.44,18.5912,5.315027465,15.4941,2.217927465,14.1848,0.908627465,12.6576,-0.618572535,11.7145,-1.561672535
0.52,18.8583,5.582127465,15.5167,2.240527465,13.7398,0.463627465,12.0098,-1.266372535,10.9901,-2.286072535
0.65,18.4295,5.153327465,15.5566,2.280427465,14.1951,0.918927465,12.6376,-0.638572535,11.6955,-1.580672535
0.64,18.2235,4.947327465,15.8427,2.566527465,14.9158,1.639627465,13.577,0.300827465,12.7401,-0.536072535
0.382378785,18.8476,5.571427465,15.6995,2.423327465,15.3167,2.040527465,13.6429,0.366727465,12.8017,-0.474472535
0.625999987,18.5597,5.283527465,15.5374,2.261227465,14.1402,0.864027465,12.5658,-0.710372535,11.6241,-1.652072535
0.68599999,18.2645,4.988327465,15.5059,2.229727465,13.9932,0.717027465,12.3103,-0.965872535,11.3128,-1.963372535
0.527999997,18.8156,5.539427465,15.589,2.312827465,14.0887,0.812527465,12.4808,-0.795372535,11.4993,-1.776872535
0.479512957,18.5912,5.315027465,15.4941,2.217927465,14.1848,0.908627465,12.6576,-0.618572535,11.7145,-1.561672535
0.690999985,18.257,4.980827465,15.9201,2.643927465,15.0095,1.733327465,13.6955,0.419327465,12.8655,-0.410672535
0.488894422,18.5536,5.277427465,15.8572,2.581027465,14.7838,1.507627465,13.129,-0.147172535,12.2317,-1.044472535
0.475307467,18.7736,5.497427465,15.4416,2.165427465,13.7323,0.456127465,12.0009,-1.275272535,10.982,-2.294172535
0.674000025,18.2235,4.947327465,15.8427,2.566527465,14.9158,1.639627465,13.577,0.300827465,12.7401,-0.536072535
0.619000018,18.2458,4.969627465,15.6998,2.423627465,14.6564,1.380227465,13.3172,0.041027465,12.4483,-0.827872535
0.518999994,18.4178,5.141627465,16.1519,2.875727465,15.5521,2.275927465,14.3188,1.042627465,13.5177,0.241527465
0.574000001,18.9553,5.679127465,15.6445,2.368327465,13.945,0.668827465,12.2296,-1.046572535,11.1981,-2.078072535
0.247,18.6949,3.926584681,15.9644,1.196084681,15.0652,0.296884681,13.5954,-1.172915319,12.6846,-2.083715319
0.571,18.5007,3.732384681,16.0048,1.236484681,15.0584,0.290084681,13.5998,-1.168515319,12.7059,-2.062415319
0.564,18.522,3.753684681,16.0096,1.241284681,15.0788,0.310484681,13.6055,-1.162815319,12.7164,-2.051915319
0.191,18.6844,3.916084681,16.0361,1.267784681,15.1303,0.361984681,13.6223,-1.146015319,12.7163,-2.052015319
0.669,18.3557,3.587384681,16.1687,1.400384681,15.4939,0.725584681,14.1916,-0.576715319,13.355,-1.413315319
0.717,18.2486,3.480284681,16.2537,1.485384681,15.689,0.920684681,14.4564,-0.311915319,13.6403,-1.128015319
0.922,18.395,3.626684681,16.499,1.730684681,16.0059,1.237584681,14.7671,-0.001215319,14.0044,-0.763915319
0.055,18.371,3.602684681,16.4014,1.633084681,16.0793,1.310984681,14.9193,0.150984681,14.142,-0.626315319
0.0,18.3885,3.620184681,16.4824,1.714084681,16.1158,1.347484681,14.9405,0.172184681,14.1712,-0.597115319
