Fe/H,O/Fe,Na/Fe,F275W,F336W,F438W,F606W,F814W
-1.185,-0.004,0.169,19.5093,16.8509,-99.9999,12.0358,10.6808
-1.236,-0.047,0.737,-99.9999,-99.9999,-99.9999,13.2077,12.2431
-1.213,0.302,0.247,18.6949,15.9644,15.0652,13.5954,12.6846
-1.335,-0.171,0.571,23.2479,21.7421,21.8567,20.438,19.5103
-1.317,0.047,0.564,18.522,16.0096,15.0788,13.6055,12.7164
-1.183,0.377,0.191,18.6844,16.0361,15.1303,13.6223,12.7163
-1.266,0.128,0.521,18.4185,-99.9999,-99.9999,13.8062,12.9295
-1.19,-0.352,0.738,-99.9999,-99.9999,-99.9999,13.9489,13.0931
-1.253,0.049,0.669,18.3557,16.1687,15.4939,14.1916,13.355
-1.197,0.184,0.039,-99.9999,-99.9999,-99.9999,14.7127,13.9362
-1.18,0.066,0.922,-99.9999,23.8817,23.11,21.297,20.5532
-1.236,-0.05,0.672,20.102,19.4462,19.8505,19.2043,-99.9999
-1.206,-0.023,0.37,18.4805,16.5934,16.3127,15.1538,14.3945
-1.247,-0.184,0.468,18.4288,16.6711,16.363,15.257,14.5137
-1.242,0.426,0.172,18.5392,16.6509,16.4174,15.2959,14.536
-1.196,0.059,0.264,21.7004,20.719,21.0286,20.2069,19.6108
-1.233,0.546,0.603,20.6542,19.8706,20.2553,19.5444,19.027
-1.204,0.23,0.036,18.593,16.8096,16.6496,15.5781,14.8491
-1.179,0.097,0.182,18.6235,16.9359,16.7704,15.6853,14.9527
-1.233,0.04,0.198,18.4649,16.8686,16.7587,15.7626,15.0612
-1.301,0.644,0.1,-99.9999,-99.9999,-99.9999,22.5148,-99.9999
-1.176,0.16,0.21,18.5908,16.1884,15.3185,13.883,13.0138
-1.259,0.17,-0.14,17.8851,15.9097,15.5031,14.3515,13.5798
-1.138,0.11,0.21,18.4638,16.1633,15.4733,14.1167,13.2678
-1.21,0.05,0.19,18.3886,16.2363,15.6211,14.3237,13.5136
-1.174,-0.21,0.33,18.7871,16.065,14.697,12.9614,11.9572
-1.115,-0.28,0.68,18.5272,16.3865,15.6098,14.172,13.3557
-1.2,0.34,0.07,18.8296,15.973,14.8473,-99.9999,12.2768
-1.206,0.24,0.05,18.7201,15.9868,15.0088,13.4639,12.5252
-1.108,0.13,0.0,18.1694,16.1076,15.5528,14.223,13.3905
-1.219,0.07,0.29,18.754,16.0279,14.7689,13.1339,12.1729
-1.158,0.28,-0.06,19.0357,15.9903,14.6447,12.9097,11.8906
-1.26,0.05,0.62,19.7189,17.2062,16.0739,14.5082,13.5798
-1.31,0.39,0.49,20.329,17.3729,15.7468,13.8499,12.7971
-1.22,0.2,0.69,19.745,17.3872,16.4222,14.9394,14.0659
-1.28,0.48,0.37,20.029,17.2148,15.9171,14.2637,13.2842
-1.33,0.56,-0.05,20.3617,17.2339,15.6684,13.793,12.7359
-1.21,0.12,0.73,19.6461,17.3855,16.5256,15.1296,14.2753
-1.32,0.55,-0.06,20.3377,17.2627,15.6807,13.7986,12.7563
-1.38,0.47,-0.01,19.6708,17.8815,17.3596,16.0011,15.2365
-1.38,0.64,0.06,19.6368,17.2979,16.582,15.2012,14.3522
-1.31,0.26,0.14,20.0482,17.2277,15.7864,14.0686,13.0726
-1.41,0.62,-0.05,19.4689,17.4481,17.0506,15.8458,15.057
-1.3,0.31,0.26,19.6911,17.2174,16.2432,14.774,13.8827
-1.32,0.58,-0.26,19.6584,17.1273,16.3173,14.9161,14.029
-1.128,0.289,-0.036,20.2288,17.2495,15.911,14.0652,12.9362
-1.127,0.301,0.023,19.8226,17.2092,15.9523,14.1692,13.0935
-1.157,-0.422,0.377,19.6676,17.2588,16.1618,14.4589,13.4163
-1.115,0.398,-0.068,19.9865,17.9252,17.248,15.1832,14.2064
-1.098,-0.875,0.522,20.2309,17.154,15.584,13.6488,12.4725
-1.15,0.28,0.065,20.127,17.192,15.834,13.9443,12.825
-1.106,0.037,0.198,19.9596,17.3052,16.2513,14.4655,13.4247
-1.155,0.156,0.233,19.7245,17.221,16.0601,14.3456,13.2853
-1.117,0.012,0.281,19.9941,17.1956,15.7241,13.761,12.6387
-1.184,-0.834,0.495,19.8135,17.2078,15.88,13.9768,12.8815
-1.123,-0.726,0.654,20.2211,17.3742,16.1422,14.1832,13.096
-1.171,0.162,0.296,19.7852,17.2354,16.4293,14.8574,13.831
-1.101,-0.485,0.456,20.5956,17.6249,16.2955,14.0165,12.8641
-1.153,0.344,-0.112,19.3948,17.4427,16.7131,15.2545,14.2848
-1.137,-0.595,0.448,20.3627,17.2439,15.6787,13.9427,12.852
-1.12,-0.913,0.639,20.5426,17.2915,15.9327,13.8967,12.7553
-1.134,0.277,0.043,19.7228,17.4489,16.6786,15.1575,14.1567
-1.111,0.259,0.078,20.0071,17.2148,15.9513,14.047,12.9463
-1.153,0.034,0.268,19.8807,17.2257,15.9271,14.1039,13.0059
-1.147,0.341,-0.111,20.379,17.2906,16.0031,14.0561,12.9474
-1.135,0.19,0.2,19.929,17.1963,16.2216,14.5374,13.4707
-1.153,0.086,0.28,19.725,17.3135,16.6031,15.0843,14.0822
-1.124,0.028,0.212,19.78,17.1886,15.8291,13.9238,12.8315
-1.069,0.317,0.056,19.6492,17.4205,16.602,15.0744,14.0739
-1.137,0.198,0.212,21.3513,18.1078,15.5042,13.1025,11.8413
-1.141,-0.138,0.417,20.335,17.6436,15.4774,12.9845,11.5788
-1.148,-0.125,0.419,20.8929,17.8754,15.5767,12.9429,11.5102
-1.118,0.335,0.127,20.6909,17.4914,15.4366,12.972,11.6216
-1.178,0.374,0.084,20.7483,17.6332,15.4386,12.8163,11.0615
-1.148,0.261,0.193,19.9655,17.1364,16.0905,14.3833,13.2819
-1.438,0.247,-0.262,-99.9999,-99.9999,-99.9999,14.6296,13.6491
-1.471,0.041,0.098,-99.9999,-99.9999,-99.9999,13.9544,12.8936
-1.545,-0.637,0.498,18.0968,15.7472,14.7297,13.0907,11.9865
-1.43,0.373,0.001,18.4266,16.3737,15.9226,14.4542,13.4647
-1.551,-0.032,0.309,18.0742,16.2723,15.7886,14.4003,13.4454
-1.543,-0.022,0.432,18.6746,17.0007,16.5807,15.2036,14.2312
-1.541,0.049,0.249,18.1591,16.3086,15.8346,14.4166,13.4613
-1.432,0.385,-0.196,18.1686,16.1506,15.7139,14.2951,13.3216
-1.568,0.286,-0.063,18.0139,15.8744,15.3377,13.8508,12.8344
-1.525,0.3,0.142,18.5164,16.929,16.6079,15.3089,14.3885
-1.512,0.213,0.33,18.6171,16.9852,16.6705,15.3444,14.4159
-1.512,-0.246,0.635,18.032,16.1637,15.6056,14.1959,13.203
-1.507,0.196,0.163,-99.9999,-99.9999,-99.9999,12.4928,11.3395
-1.581,0.075,0.416,18.0287,15.7817,15.0088,13.4354,12.4019
-1.479,0.242,-0.076,18.1218,15.8591,15.219,13.6959,12.6472
-1.547,-0.351,0.93,18.3853,16.7121,16.397,15.0783,14.1629
-1.506,0.335,0.264,-99.9999,-99.9999,-99.9999,13.571,12.5433
-1.523,-0.086,0.057,18.0008,16.1206,15.7518,14.3481,13.3968
-1.509,-0.343,0.489,17.988,15.4936,14.3612,-99.9999,11.5738
-1.49,0.061,0.401,18.9164,17.3887,17.0925,15.7926,14.8552
-1.454,-0.345,0.611,17.8786,15.8682,15.1922,13.7234,12.7207
-1.562,0.238,-0.122,17.7312,15.9554,15.6422,14.3376,13.4016
-1.44,0.079,0.387,18.0557,15.6132,14.6604,12.9976,11.9138
-1.454,-0.239,0.337,18.1058,16.2445,-99.9999,14.268,13.3016
-1.461,-0.784,0.518,18.1512,16.3061,15.7637,14.3593,13.3764
-1.397,0.191,0.016,18.6894,16.8584,16.5735,15.2149,14.2718
-1.523,0.233,0.14,-99.9999,-99.9999,-99.9999,15.2828,14.3451
-2.305,0.361,0.17,17.6106,15.8052,15.4328,14.222,13.3706
-2.273,0.244,0.398,17.6948,16.2345,16.0385,14.9555,14.1592
-2.237,0.04,0.199,17.6037,16.0746,15.8165,14.7047,13.8989
-2.229,0.348,0.3,17.9772,16.791,16.7568,15.7717,15.0233
-2.181,0.45,0.308,17.59,15.9916,15.7096,14.5927,13.7767
-2.269,0.557,0.303,17.6656,16.2172,16.029,14.9298,14.1456
-2.304,0.299,0.368,17.8429,16.4915,16.4451,15.422,14.6653
-2.176,0.085,0.287,17.5447,15.9307,15.5988,14.4664,13.6419
-2.214,0.175,0.556,17.6704,16.1861,16.0002,14.903,14.1116
-2.235,0.006,0.373,17.6406,16.1546,15.9635,14.8558,14.0656
-2.304,0.475,0.009,17.6608,16.1662,16.0184,14.8978,14.1021
-2.244,0.531,0.036,17.6042,15.8955,15.6042,14.4548,13.644
-2.211,0.574,0.3,17.7659,16.4437,16.3079,15.2776,14.5082
-1.341,0.494,0.098,18.7596,15.6436,14.1701,12.3766,11.3389
-1.332,-0.543,0.7,17.8776,15.6268,14.7434,13.3717,12.4946
-1.343,0.049,0.488,17.9784,15.7538,15.0058,13.6764,12.8269
